Image_Link,Species_Name,Common_Name
/afbid/search/browse/species/1503/28,Acrocephalus arundinaceus (1),Great Reed Warbler
/afbid/search/browse/species/1507/28,Acrocephalus gracilirostris (5),Lesser Swamp Warbler
/afbid/search/browse/species/1504/28,Acrocephalus griseldis (1),Basra Reed Warbler
/afbid/search/browse/species/1506/28,Acrocephalus rufescens (1),Greater Swamp Warbler
/afbid/search/browse/species/1499/28,Acrocephalus schoenobaenus (1),Sedge Warbler
/afbid/search/browse/species/349/28,Acryllium vulturinum (9),Vulturine Guineafowl
/afbid/search/browse/species/582/28,Actitis hypoleucos (4),Common Sandpiper
/afbid/search/browse/species/473/28,Actophilornis africanus (2),African Jacana
/afbid/search/browse/species/276/28,Aerospiza tachiro (1),African Goshawk
/afbid/search/browse/species/731/28,Agapornis fischeri (6),Fischer's Lovebird
/afbid/search/browse/species/730/28,Agapornis personatus (1),Yellow-collared Lovebird
/afbid/search/browse/species/1721/28,Agricola pallidus (1),Pale Flycatcher
/afbid/search/browse/species/2714/28,Alaudala athensis (2),Athi Short-toed Lark
/afbid/search/browse/species/179/28,Alopochen aegyptiaca (5),Egyptian Goose
/afbid/search/browse/species/2355/28,Amadina fasciata (5),Cut-throat Finch
/afbid/search/browse/species/429/28,Amaurornis flavirostra (6),Black Crake
/afbid/search/browse/species/2264/28,Amblyospiza albifrons (1),Thick-billed Weaver
/afbid/search/browse/species/1115/28,Amirafra collaris (1),Collared Lark
/afbid/search/browse/species/2203/28,Anaplectes rubriceps (5),Red-headed Weaver
/afbid/search/browse/species/513/28,Anarhynchus asiaticus (1),Caspian Plover
/afbid/search/browse/species/512/28,Anarhynchus leschenaultii (7),Greater Sand Plover
/afbid/search/browse/species/509/28,Anarhynchus marginatus (1),White-fronted Plover
/afbid/search/browse/species/511/28,Anarhynchus mongolus (7),Siberian Sand Plover
/afbid/search/browse/species/510/28,Anarhynchus pallidus (1),Chestnut-banded Plover
/afbid/search/browse/species/504/28,Anarhynchus pecuarius (4),Kittlitz's Plover
/afbid/search/browse/species/194/28,Anas capensis (4),Cape Teal
/afbid/search/browse/species/202/28,Anas erythrorhyncha (2),Red-billed Teal
/afbid/search/browse/species/199/28,Anas sparsa (1),African Black Duck
/afbid/search/browse/species/198/28,Anas undulata (1),Yellow-billed Duck
/afbid/search/browse/species/142/28,Anastomus lamelligerus (2),African Openbill
/afbid/search/browse/species/1278/28,Andropadus importunus (2),Sombre Greenbul
/afbid/search/browse/species/104/28,Anhinga rufa (2),African Darter
/afbid/search/browse/species/2370/28,Anomalospiza imberbis (3),Cuckoo-finch
/afbid/search/browse/species/646/28,Anous stolidus (1),Brown Noddy
/afbid/search/browse/species/645/28,Anous tenuirostris (2),Lesser Noddy
/afbid/search/browse/species/1862/28,Anthoscopus caroli (2),Grey Penduline Tit
/afbid/search/browse/species/1873/28,Anthreptes orientalis (5),Eastern Violet-backed Sunbird
/afbid/search/browse/species/1878/28,Anthreptes reichenowi (2),Plain-backed Sunbird
/afbid/search/browse/species/1222/28,Anthus cinnamomeus (2),African Pipit
/afbid/search/browse/species/1227/28,Anthus leucophrys (5),Plain-backed Pipit
/afbid/search/browse/species/1241/28,Anthus lineiventris (3),Striped Pipit
/afbid/search/browse/species/1231/28,Anthus melindae (7),Malindi Pipit
/afbid/search/browse/species/1234/28,Anthus sokokensis (5),Sokoke Pipit
/afbid/search/browse/species/1235/28,Anthus trivialis (1),Tree Pipit
/afbid/search/browse/species/1700/28,Apalis cinerea (2),Grey Apalis
/afbid/search/browse/species/1685/28,Apalis flavida (2),Yellow-breasted Apalis
/afbid/search/browse/species/2597/28,Apalis fuscigularis (2),Taita Apalis
/afbid/search/browse/species/1688/28,Apalis jacksoni (2),Black-throated Apalis
/afbid/search/browse/species/1691/28,Apalis melanocephala (3),Black-headed Apalis
/afbid/search/browse/species/1693/28,Apalis porphyrolaema (3),Chestnut-throated Apalis
/afbid/search/browse/species/909/28,Apaloderma narina (5),Narina's Trogon
/afbid/search/browse/species/908/28,Apaloderma vittatum (6),Bar-tailed Trogon
/afbid/search/browse/species/899/28,Apus affinis (3),Little Swift
/afbid/search/browse/species/890/28,Apus berliozi (1),Forbes-Watson's Swift
/afbid/search/browse/species/897/28,Apus caffer (1),White-rumped Swift
/afbid/search/browse/species/307/28,Aquila heliaca (1),Eastern Imperial Eagle
/afbid/search/browse/species/306/28,Aquila nipalensis (1),Steppe Eagle
/afbid/search/browse/species/305/28,Aquila rapax (11),Tawny Eagle
/afbid/search/browse/species/313/28,Aquila spilogaster (3),African Hawk-Eagle
/afbid/search/browse/species/310/28,Aquila verreauxii (1),Verreaux's Eagle
/afbid/search/browse/species/134/28,Ardea alba (1),Great Egret
/afbid/search/browse/species/133/28,Ardea brachyrhyncha (2),Yellow-billed Egret
/afbid/search/browse/species/136/28,Ardea cinerea (5),Grey Heron
/afbid/search/browse/species/139/28,Ardea goliath (9),Goliath Heron
/afbid/search/browse/species/124/28,Ardea ibis (1),Western Cattle Egret
/afbid/search/browse/species/137/28,Ardea melanocephala (11),Black-headed Heron
/afbid/search/browse/species/135/28,Ardea purpurea (1),Purple Heron
/afbid/search/browse/species/121/28,Ardeola idae (2),Malagasy Pond Heron
/afbid/search/browse/species/120/28,Ardeola ralloides (1),Squacco Heron
/afbid/search/browse/species/122/28,Ardeola rufiventris (2),Rufous-bellied Heron
/afbid/search/browse/species/455/28,Ardeotis kori (11),Kori Bustard
/afbid/search/browse/species/2731/28,Arizelocichla kakamegae (1),Kakamega Greenbul
/afbid/search/browse/species/2734/28,Arizelocichla kikuyuensis (5),Kikuyu Mountain Greenbul
/afbid/search/browse/species/2732/28,Arizelocichla striifacies (1),Olive-headed Greenbul
/afbid/search/browse/species/2144/28,Arizelopsar femoralis (3),Abbott’s Starling
/afbid/search/browse/species/288/28,Astur melanoleucus (5),Black Sparrowhawk
/afbid/search/browse/species/231/28,Aviceda cuculoides (2),African Cuckoo-Hawk
/afbid/search/browse/species/446/28,Balearica regulorum (9),Grey Crowned Crane
/afbid/search/browse/species/1484/28,Bathmocercus rufus (2),Black-faced Rufous Warbler
/afbid/search/browse/species/2662/28,Batis erlangeri (1),Western Black-headed Batis
/afbid/search/browse/species/1783/28,Batis mixta (3),Forest Batis
/afbid/search/browse/species/1786/28,Batis molitor (4),Chinspot Batis
/afbid/search/browse/species/1792/28,Batis perkeo (4),Pygmy Batis
/afbid/search/browse/species/1787/28,Batis soror (2),Pale Batis
/afbid/search/browse/species/1313/28,Bleda syndactylus (1),Red-tailed Bristlebill
/afbid/search/browse/species/2014/28,Bocagia minuta (1),Marsh Tchagra
/afbid/search/browse/species/151/28,Bostrychia hagedash (7),Hadada Ibis
/afbid/search/browse/species/153/28,Bostrychia olivacea (3),Olive Ibis
/afbid/search/browse/species/113/28,Botaurus minutus (2),Little Bittern
/afbid/search/browse/species/115/28,Botaurus sturmii (2),Dwarf Bittern
/afbid/search/browse/species/1723/28,Bradornis microrhynchus (11),African Grey Flycatcher
/afbid/search/browse/species/1477/28,Bradypterus cinnamomeus (2),Cinnamon Bracken Warbler
/afbid/search/browse/species/1475/28,Bradypterus lopezi (2),Evergreen Forest Warbler
/afbid/search/browse/species/2323/28,Brunhilda charmosyna (2),Black-cheeked Waxbill
/afbid/search/browse/species/2180/28,Bubalornis albirostris (3),White-billed Buffalo Weaver
/afbid/search/browse/species/2181/28,Bubalornis niger (2),Red-billed Buffalo Weaver
/afbid/search/browse/species/820/28,Bubo africanus (4),Spotted Eagle-Owl
/afbid/search/browse/species/819/28,Bubo capensis (3),Cape Eagle-Owl
/afbid/search/browse/species/821/28,Bubo cinerascens (5),Greyish Eagle-Owl
/afbid/search/browse/species/1016/28,Buccanodon duchaillui (1),Yellow-spotted Barbet
/afbid/search/browse/species/976/28,Bucorvus leadbeateri (3),Southern Ground Hornbill
/afbid/search/browse/species/2154/28,Buphagus africanus (1),Yellow-billed Oxpecker
/afbid/search/browse/species/2155/28,Buphagus erythrorhynchus (2),Red-billed Oxpecker
/afbid/search/browse/species/486/28,Burhinus capensis (2),Spotted Thick-knee
/afbid/search/browse/species/484/28,Burhinus senegalensis (2),Senegal Thick-knee
/afbid/search/browse/species/485/28,Burhinus vermiculatus (1),Water Thick-knee
/afbid/search/browse/species/301/28,Buteo augur (11),Augur Buzzard
/afbid/search/browse/species/294/28,Buteo buteo (2),Common Buzzard
/afbid/search/browse/species/295/28,Buteo oreophilus (3),Mountain Buzzard
/afbid/search/browse/species/125/28,Butorides striata (4),Striated Heron
/afbid/search/browse/species/994/28,Bycanistes brevis (5),Silvery-cheeked Hornbill
/afbid/search/browse/species/995/28,Bycanistes subcylindricus (2),Black-and-white-casqued Hornbill
/afbid/search/browse/species/1706/28,Calamonastes simplex (3),Grey Wren-Warbler
/afbid/search/browse/species/1146/28,Calandrella cinerea (3),Red-capped Lark
/afbid/search/browse/species/1116/28,Calendulauda africanoides (3),Fawn-colored Lark
/afbid/search/browse/species/1120/28,Calendulauda poecilosterna (7),Pink-breasted Lark
/afbid/search/browse/species/547/28,Calidris ferruginea (1),Curlew Sandpiper
/afbid/search/browse/species/539/28,Calidris minuta (6),Little Stint
/afbid/search/browse/species/553/28,Calidris pugnax (2),Ruff
/afbid/search/browse/species/2638/28,Camaroptera brevicaudata (3),Grey-backed Camaroptera
/afbid/search/browse/species/1705/28,Camaroptera chloronota (1),Olive-green Camaroptera
/afbid/search/browse/species/1255/28,Campephaga flava (4),Black Cuckooshrike
/afbid/search/browse/species/1256/28,Campephaga petiti (1),Petit's Cuckooshrike
/afbid/search/browse/species/1257/28,Campephaga quiscalina (2),Purple-throated Cuckooshrike
/afbid/search/browse/species/1066/28,Campethera cailliautii (1),Little Spotted Woodpecker
/afbid/search/browse/species/1064/28,Campethera mombassica (3),Mombasa Woodpecker
/afbid/search/browse/species/1059/28,Campethera nubica (5),Nubian Woodpecker
/afbid/search/browse/species/2720/28,Campethera taeniolaema (2),Fine-banded Woodpecker
/afbid/search/browse/species/361/28,Campocolinus coqui (10),Coqui Francolin
/afbid/search/browse/species/851/28,Caprimulgus clarus (2),Slender-tailed Nightjar
/afbid/search/browse/species/867/28,Caprimulgus fraenatus (1),Sombre Nightjar
/afbid/search/browse/species/855/28,Caprimulgus poliocephalus (2),Montane Nightjar
/afbid/search/browse/species/1260/28,Ceblepyris caesius (1),Grey Cuckooshrike
/afbid/search/browse/species/1189/28,Cecropis abyssinica (4),Lesser Striped Swallow
/afbid/search/browse/species/1191/28,Cecropis melanocrissus (3),African Red-rumped Swallow
/afbid/search/browse/species/1188/28,Cecropis senegalensis (2),Mosque Swallow
/afbid/search/browse/species/795/28,Centropus monachus (1),Blue-headed Coucal
